,song_index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
1445,1445,0.755,0.561,0,-9.178,1,0.0467,0.00188,0.00939,0.309,0.289,115.053,audio_features,7rjkEHShjeeBFxN30g6OWm,spotify:track:7rjkEHShjeeBFxN30g6OWm,https://api.spotify.com/v1/tracks/7rjkEHShjeeBFxN30g6OWm,https://api.spotify.com/v1/audio-analysis/7rjkEHShjeeBFxN30g6OWm,168046,4,Dark Trap,500 on Me,,
2540,2540,0.516,0.649,6,-4.307,0,0.1939999999999999,0.591,1.77e-05,0.192,0.354,150.06799999999998,audio_features,75bfH2B3aSMK6Z2ISCKG6B,spotify:track:75bfH2B3aSMK6Z2ISCKG6B,https://api.spotify.com/v1/tracks/75bfH2B3aSMK6Z2ISCKG6B,https://api.spotify.com/v1/audio-analysis/75bfH2B3aSMK6Z2ISCKG6B,204800,3,Dark Trap,Taurine,,
3219,3219,0.633,0.931,4,-5.172000000000001,0,0.0342,0.0465,0.947,0.107,0.225,120.005,audio_features,6hlGRsmAUTXeK30lmvj3a5,spotify:track:6hlGRsmAUTXeK30lmvj3a5,https://api.spotify.com/v1/tracks/6hlGRsmAUTXeK30lmvj3a5,https://api.spotify.com/v1/audio-analysis/6hlGRsmAUTXeK30lmvj3a5,272000,4,Dark Trap,Elayshun,,
464,464,0.785,0.442,8,-13.061,0,0.444,0.111,6.670000000000001e-05,0.165,0.449,179.96099999999998,audio_features,62vRjmpzgvqIDYlFJlgTtS,spotify:track:62vRjmpzgvqIDYlFJlgTtS,https://api.spotify.com/v1/tracks/62vRjmpzgvqIDYlFJlgTtS,https://api.spotify.com/v1/audio-analysis/62vRjmpzgvqIDYlFJlgTtS,151385,4,Dark Trap,Manny,,
1451,1451,0.857,0.731,1,-6.354,1,0.0754,0.0822,0.000364,0.324,0.609,140.002,audio_features,0TKg8mG9qQX31U5qWoECjr,spotify:track:0TKg8mG9qQX31U5qWoECjr,https://api.spotify.com/v1/tracks/0TKg8mG9qQX31U5qWoECjr,https://api.spotify.com/v1/audio-analysis/0TKg8mG9qQX31U5qWoECjr,152880,4,Dark Trap,Naloxone,,
993,993,0.499,0.519,10,-9.694,0,0.105,0.562,4.75e-05,0.0903,0.241,154.436,audio_features,6LhIbVof5uPD42AZvj55KM,spotify:track:6LhIbVof5uPD42AZvj55KM,https://api.spotify.com/v1/tracks/6LhIbVof5uPD42AZvj55KM,https://api.spotify.com/v1/audio-analysis/6LhIbVof5uPD42AZvj55KM,159007,4,Dark Trap,They Said the Sky Was the Limit,,
4086,4086,0.675,0.351,4,-12.962,0,0.0415,0.3279999999999999,0.0435,0.0878,0.396,126.04,audio_features,02aRXINniTNti3MP3Pj2eT,spotify:track:02aRXINniTNti3MP3Pj2eT,https://api.spotify.com/v1/tracks/02aRXINniTNti3MP3Pj2eT,https://api.spotify.com/v1/audio-analysis/02aRXINniTNti3MP3Pj2eT,131473,4,Dark Trap,Ascension (feat. Madbliss),,
3488,3488,0.422,0.75,3,-8.919,0,0.052,0.287,0.919,0.127,0.1369999999999999,135.60299999999998,audio_features,0nPv4GNYCfK8r1OZKj8Egx,spotify:track:0nPv4GNYCfK8r1OZKj8Egx,https://api.spotify.com/v1/tracks/0nPv4GNYCfK8r1OZKj8Egx,https://api.spotify.com/v1/audio-analysis/0nPv4GNYCfK8r1OZKj8Egx,236029,4,Dark Trap,Seeker,,
2524,2524,0.385,0.7829999999999999,8,-3.3760000000000003,0,0.0587,0.00286,0.363,0.184,0.182,173.37400000000002,audio_features,2o7B4RSrntLdywRvq7FItc,spotify:track:2o7B4RSrntLdywRvq7FItc,https://api.spotify.com/v1/tracks/2o7B4RSrntLdywRvq7FItc,https://api.spotify.com/v1/audio-analysis/2o7B4RSrntLdywRvq7FItc,184615,5,Dark Trap,Weakness,,
3374,3374,0.509,0.873,9,-4.275,1,0.0529,0.0134,0.602,0.618,0.0307,123.673,audio_features,2XyyjlviQOgLBQyz7AbCls,spotify:track:2XyyjlviQOgLBQyz7AbCls,https://api.spotify.com/v1/tracks/2XyyjlviQOgLBQyz7AbCls,https://api.spotify.com/v1/audio-analysis/2XyyjlviQOgLBQyz7AbCls,311586,5,Dark Trap,Cold Sweat,,
4666,4666,0.523,0.867,9,-3.397,1,0.225,0.0406,3.81e-06,0.384,0.495,114.422,audio_features,5uLo7y0iqCzWEiox6aKJ24,spotify:track:5uLo7y0iqCzWEiox6aKJ24,https://api.spotify.com/v1/tracks/5uLo7y0iqCzWEiox6aKJ24,https://api.spotify.com/v1/audio-analysis/5uLo7y0iqCzWEiox6aKJ24,127687,4,Underground Rap,VOICESINMYHEAD,,
8525,8525,0.855,0.561,2,-5.105,1,0.2769999999999999,0.00135,0.0,0.187,0.408,157.016,audio_features,6FZjiSBSQoj1geAgXjvqez,spotify:track:6FZjiSBSQoj1geAgXjvqez,https://api.spotify.com/v1/tracks/6FZjiSBSQoj1geAgXjvqez,https://api.spotify.com/v1/audio-analysis/6FZjiSBSQoj1geAgXjvqez,156467,4,Underground Rap,Undefeated (feat. Lil Keed),,
6167,6167,0.8809999999999999,0.763,1,-5.694,1,0.188,0.132,0.0,0.0749,0.351,142.05700000000002,audio_features,2ktWRJFJrceNdFCDlrBKhT,spotify:track:2ktWRJFJrceNdFCDlrBKhT,https://api.spotify.com/v1/tracks/2ktWRJFJrceNdFCDlrBKhT,https://api.spotify.com/v1/audio-analysis/2ktWRJFJrceNdFCDlrBKhT,135393,4,Underground Rap,Van Glock,,
5830,5830,0.799,0.614,1,-10.165,1,0.525,0.0521,0.0,0.367,0.8440000000000001,181.76,audio_features,5ujIKl4PDCqxU4t9xv8XNO,spotify:track:5ujIKl4PDCqxU4t9xv8XNO,https://api.spotify.com/v1/tracks/5ujIKl4PDCqxU4t9xv8XNO,https://api.spotify.com/v1/audio-analysis/5ujIKl4PDCqxU4t9xv8XNO,146085,4,Underground Rap,DIET_ - A COLORS SHOW,,
7554,7554,0.901,0.59,9,-7.082000000000001,1,0.15,0.00458,1.31e-06,0.103,0.113,133.8,audio_features,0Fu9j8BmmooIGnaGNaIeVB,spotify:track:0Fu9j8BmmooIGnaGNaIeVB,https://api.spotify.com/v1/tracks/0Fu9j8BmmooIGnaGNaIeVB,https://api.spotify.com/v1/audio-analysis/0Fu9j8BmmooIGnaGNaIeVB,157675,4,Underground Rap,"Smoked Out, Loced Out",,
5658,5658,0.912,0.406,1,-8.801,1,0.1989999999999999,0.154,0.00656,0.108,0.103,200.068,audio_features,2pdPPxgd0QrmggrvlnWNgE,spotify:track:2pdPPxgd0QrmggrvlnWNgE,https://api.spotify.com/v1/tracks/2pdPPxgd0QrmggrvlnWNgE,https://api.spotify.com/v1/audio-analysis/2pdPPxgd0QrmggrvlnWNgE,138350,4,Underground Rap,Don't Be Mad At Me,,
8401,8401,0.818,0.5,11,-7.968,0,0.331,0.095,0.0,0.168,0.51,150.192,audio_features,2CIktojfxYQEPqruYivUrO,spotify:track:2CIktojfxYQEPqruYivUrO,https://api.spotify.com/v1/tracks/2CIktojfxYQEPqruYivUrO,https://api.spotify.com/v1/audio-analysis/2CIktojfxYQEPqruYivUrO,157960,4,Underground Rap,Hit,,
5541,5541,0.669,0.721,10,-7.507000000000001,0,0.0315,0.06,0.0,0.147,0.618,196.088,audio_features,7o36Aeu28yWmSkjgB8pRLm,spotify:track:7o36Aeu28yWmSkjgB8pRLm,https://api.spotify.com/v1/tracks/7o36Aeu28yWmSkjgB8pRLm,https://api.spotify.com/v1/audio-analysis/7o36Aeu28yWmSkjgB8pRLm,203507,4,Underground Rap,Nikki,,
5316,5316,0.816,0.7020000000000001,11,-3.2030000000000003,1,0.191,0.00414,0.0,0.0532,0.2689999999999999,140.009,audio_features,1vMBFP2IWffOjW5AXrwWdx,spotify:track:1vMBFP2IWffOjW5AXrwWdx,https://api.spotify.com/v1/tracks/1vMBFP2IWffOjW5AXrwWdx,https://api.spotify.com/v1/audio-analysis/1vMBFP2IWffOjW5AXrwWdx,169714,4,Underground Rap,Who Dat?,,
8159,8159,0.769,0.433,10,-10.358,0,0.161,0.151,0.0,0.119,0.7829999999999999,186.004,audio_features,1uRFuY4TkGV8kYOGlqLsJf,spotify:track:1uRFuY4TkGV8kYOGlqLsJf,https://api.spotify.com/v1/tracks/1uRFuY4TkGV8kYOGlqLsJf,https://api.spotify.com/v1/audio-analysis/1uRFuY4TkGV8kYOGlqLsJf,204758,4,Underground Rap,P.D.A,,
12343,12343,0.8,0.591,6,-8.808,1,0.271,0.111,0.0,0.429,0.747,117.003,audio_features,2gQYziDV5cSTRSqr6akzi5,spotify:track:2gQYziDV5cSTRSqr6akzi5,https://api.spotify.com/v1/tracks/2gQYziDV5cSTRSqr6akzi5,https://api.spotify.com/v1/audio-analysis/2gQYziDV5cSTRSqr6akzi5,210387,4,Trap Metal,Take A Step Back,,
11727,11727,0.6990000000000001,0.831,1,-9.655,1,0.877,0.0434,0.0,0.372,0.456,143.96,audio_features,3PJpz7NerwRmOCXgmi3uuD,spotify:track:3PJpz7NerwRmOCXgmi3uuD,https://api.spotify.com/v1/tracks/3PJpz7NerwRmOCXgmi3uuD,https://api.spotify.com/v1/audio-analysis/3PJpz7NerwRmOCXgmi3uuD,136667,4,Trap Metal,GET JUMPED,,
11895,11895,0.625,0.892,1,-8.071,1,0.31,0.0249,0.000608,0.3989999999999999,0.362,166.054,audio_features,0YuYm5ib7hL8TplkKN8d7X,spotify:track:0YuYm5ib7hL8TplkKN8d7X,https://api.spotify.com/v1/tracks/0YuYm5ib7hL8TplkKN8d7X,https://api.spotify.com/v1/audio-analysis/0YuYm5ib7hL8TplkKN8d7X,150361,4,Trap Metal,Spinal Tap,,
10785,10785,0.718,0.6679999999999999,8,-4.162,1,0.1369999999999999,0.0254,0.0078,0.124,0.038,130.826,audio_features,0XfQbq7DaMOmVXgQ71eA6E,spotify:track:0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/tracks/0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/audio-analysis/0XfQbq7DaMOmVXgQ71eA6E,77584,4,Trap Metal,kamikaze (+ pulse),,
11309,11309,0.713,0.8390000000000001,4,-6.377000000000001,0,0.349,0.00417,0.706,0.106,0.0369,150.004,audio_features,0FP2R9giDksk3a1GUQLfOz,spotify:track:0FP2R9giDksk3a1GUQLfOz,https://api.spotify.com/v1/tracks/0FP2R9giDksk3a1GUQLfOz,https://api.spotify.com/v1/audio-analysis/0FP2R9giDksk3a1GUQLfOz,149230,4,Trap Metal,As Above so Look out Below,,
11620,11620,0.84,0.4,5,-11.807,0,0.0516,0.698,0.00143,0.1159999999999999,0.381,124.009,audio_features,1jWJcuTUgO99gntArSPmrB,spotify:track:1jWJcuTUgO99gntArSPmrB,https://api.spotify.com/v1/tracks/1jWJcuTUgO99gntArSPmrB,https://api.spotify.com/v1/audio-analysis/1jWJcuTUgO99gntArSPmrB,154947,4,Trap Metal,BUMBLE BEE,,
11674,11674,0.76,0.499,1,-9.082,1,0.0855,0.145,0.00758,0.2019999999999999,0.685,146.004,audio_features,75CgFbAetbWG7wiLM8o8ao,spotify:track:75CgFbAetbWG7wiLM8o8ao,https://api.spotify.com/v1/tracks/75CgFbAetbWG7wiLM8o8ao,https://api.spotify.com/v1/audio-analysis/75CgFbAetbWG7wiLM8o8ao,144661,4,Trap Metal,Scars,,
12264,12264,0.44,0.847,6,-5.686,1,0.125,0.113,0.0461,0.516,0.203,149.644,audio_features,4MDlucO3JKF8ep9wk8wufZ,spotify:track:4MDlucO3JKF8ep9wk8wufZ,https://api.spotify.com/v1/tracks/4MDlucO3JKF8ep9wk8wufZ,https://api.spotify.com/v1/audio-analysis/4MDlucO3JKF8ep9wk8wufZ,140545,4,Trap Metal,XX122 - Tank Version,,
11452,11452,0.597,0.327,6,-13.288,1,0.0339,0.436,0.0318,0.103,0.163,125.007,audio_features,2QmRl7XsNna1i7gjpRXc5u,spotify:track:2QmRl7XsNna1i7gjpRXc5u,https://api.spotify.com/v1/tracks/2QmRl7XsNna1i7gjpRXc5u,https://api.spotify.com/v1/audio-analysis/2QmRl7XsNna1i7gjpRXc5u,123216,4,Trap Metal,Branches,,
11054,11054,0.871,0.407,1,-9.334,1,0.573,0.187,0.0,0.362,0.3339999999999999,200.042,audio_features,6brvlhkOJXJtJHdO9o1oPm,spotify:track:6brvlhkOJXJtJHdO9o1oPm,https://api.spotify.com/v1/tracks/6brvlhkOJXJtJHdO9o1oPm,https://api.spotify.com/v1/audio-analysis/6brvlhkOJXJtJHdO9o1oPm,126000,4,Trap Metal,Toe Tags & Broken Skulls,,
12893,12893,0.6890000000000001,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,audio_features,77Ft1RJngppZlq59B6uP0z,spotify:track:77Ft1RJngppZlq59B6uP0z,https://api.spotify.com/v1/tracks/77Ft1RJngppZlq59B6uP0z,https://api.spotify.com/v1/audio-analysis/77Ft1RJngppZlq59B6uP0z,320627,4,Emo,Lose Yourself,,
13732,13732,0.5820000000000001,0.8909999999999999,8,-5.239,1,0.0457,0.00635,0.0,0.201,0.534,115.027,audio_features,7r8idehyb1p3PZXd7PmsEi,spotify:track:7r8idehyb1p3PZXd7PmsEi,https://api.spotify.com/v1/tracks/7r8idehyb1p3PZXd7PmsEi,https://api.spotify.com/v1/audio-analysis/7r8idehyb1p3PZXd7PmsEi,230427,4,Emo,The Last Of The Real Ones,,
13721,13721,0.5529999999999999,0.8590000000000001,10,-3.141,1,0.0376,0.0509,0.0,0.157,0.546,199.99400000000003,audio_features,46CiniduyRUQGrdpgrfZ9q,spotify:track:46CiniduyRUQGrdpgrfZ9q,https://api.spotify.com/v1/tracks/46CiniduyRUQGrdpgrfZ9q,https://api.spotify.com/v1/audio-analysis/46CiniduyRUQGrdpgrfZ9q,197800,4,Emo,I Wish I Was James Bond,,
13451,13451,0.563,0.396,1,-10.228,1,0.0302,0.551,0.0,0.163,0.302,192.028,audio_features,6et9xZjgjZxqKNZx8CUQQu,spotify:track:6et9xZjgjZxqKNZx8CUQQu,https://api.spotify.com/v1/tracks/6et9xZjgjZxqKNZx8CUQQu,https://api.spotify.com/v1/audio-analysis/6et9xZjgjZxqKNZx8CUQQu,275493,4,Emo,Happy Ending,,
12703,12703,0.251,0.954,6,-2.879,1,0.0691,0.000674,0.000132,0.0975,0.264,191.05900000000003,audio_features,5BmagRD7Thki6O1zZwbxBy,spotify:track:5BmagRD7Thki6O1zZwbxBy,https://api.spotify.com/v1/tracks/5BmagRD7Thki6O1zZwbxBy,https://api.spotify.com/v1/audio-analysis/5BmagRD7Thki6O1zZwbxBy,258000,4,Emo,The Boys of Summer,,
12657,12657,0.63,0.912,4,-5.589,0,0.0746,0.000177,0.0,0.118,0.597,184.764,audio_features,1m83tHCduuXUzbpA3lOlQt,spotify:track:1m83tHCduuXUzbpA3lOlQt,https://api.spotify.com/v1/tracks/1m83tHCduuXUzbpA3lOlQt,https://api.spotify.com/v1/audio-analysis/1m83tHCduuXUzbpA3lOlQt,234760,4,Emo,Headstrong,,
13042,13042,0.579,0.889,6,-4.078,1,0.0796,0.1969999999999999,0.0,0.131,0.556,125.948,audio_features,2M98FO4fkGec4lzsafk8YY,spotify:track:2M98FO4fkGec4lzsafk8YY,https://api.spotify.com/v1/tracks/2M98FO4fkGec4lzsafk8YY,https://api.spotify.com/v1/audio-analysis/2M98FO4fkGec4lzsafk8YY,248080,4,Emo,Intoxicated,,
13412,13412,0.441,0.2189999999999999,8,-14.586,1,0.0419,0.935,0.0,0.115,0.244,188.042,audio_features,39KG4kom3enSx4GTThuDGt,spotify:track:39KG4kom3enSx4GTThuDGt,https://api.spotify.com/v1/tracks/39KG4kom3enSx4GTThuDGt,https://api.spotify.com/v1/audio-analysis/39KG4kom3enSx4GTThuDGt,199120,4,Emo,Coaster,,
12979,12979,0.436,0.931,0,-5.587999999999999,1,0.0534,3.82e-06,0.0061,0.146,0.4029999999999999,185.078,audio_features,5llAcLZpMCl8KmrcVUrE8d,spotify:track:5llAcLZpMCl8KmrcVUrE8d,https://api.spotify.com/v1/tracks/5llAcLZpMCl8KmrcVUrE8d,https://api.spotify.com/v1/audio-analysis/5llAcLZpMCl8KmrcVUrE8d,216081,4,Emo,I Can Tell There Was an Accident Here Earlier,,
13312,13312,0.176,0.0148,2,-32.929,1,0.0376,0.955,0.921,0.109,0.0358,162.994,audio_features,0TOCTs2yOsYK888X4U2gcq,spotify:track:0TOCTs2yOsYK888X4U2gcq,https://api.spotify.com/v1/tracks/0TOCTs2yOsYK888X4U2gcq,https://api.spotify.com/v1/audio-analysis/0TOCTs2yOsYK888X4U2gcq,132907,4,Emo,A Life So Changed,,
14315,14315,0.8590000000000001,0.77,8,-5.358,0,0.345,0.0056,0.0,0.0731,0.348,155.025,audio_features,6qUabsNxudatEFedWGHoDh,spotify:track:6qUabsNxudatEFedWGHoDh,https://api.spotify.com/v1/tracks/6qUabsNxudatEFedWGHoDh,https://api.spotify.com/v1/audio-analysis/6qUabsNxudatEFedWGHoDh,207394,4,Rap,"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",,
14435,14435,0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,audio_features,7l3E7lcozEodtVsSTCkcaA,spotify:track:7l3E7lcozEodtVsSTCkcaA,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,228654,4,Rap,ZEZE (feat. Travis Scott & Offset),,
15126,15126,0.8490000000000001,0.536,1,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,audio_features,4Z5FyQlevoHoa5FsIVKZju,spotify:track:4Z5FyQlevoHoa5FsIVKZju,https://api.spotify.com/v1/tracks/4Z5FyQlevoHoa5FsIVKZju,https://api.spotify.com/v1/audio-analysis/4Z5FyQlevoHoa5FsIVKZju,122587,4,Rap,PRACTICE,,
14816,14816,0.7809999999999999,0.6409999999999999,5,-8.102,1,0.138,0.0697,0.0,0.236,0.3289999999999999,120.134,audio_features,6PkRNUvByY3Wb6UJjSWZ49,spotify:track:6PkRNUvByY3Wb6UJjSWZ49,https://api.spotify.com/v1/tracks/6PkRNUvByY3Wb6UJjSWZ49,https://api.spotify.com/v1/audio-analysis/6PkRNUvByY3Wb6UJjSWZ49,143867,4,Rap,The Bottom,,
14250,14250,0.931,0.667,6,-7.042999999999999,0,0.318,0.0144,0.0,0.15,0.667,142.039,audio_features,021lWIHJrURZrmvYQ1xcM8,spotify:track:021lWIHJrURZrmvYQ1xcM8,https://api.spotify.com/v1/tracks/021lWIHJrURZrmvYQ1xcM8,https://api.spotify.com/v1/audio-analysis/021lWIHJrURZrmvYQ1xcM8,207739,4,Rap,All Bad (feat. Lil Uzi Vert),,
14367,14367,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,audio_features,0AluA5RNsa4Cx6XRhf2hWZ,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,https://api.spotify.com/v1/tracks/0AluA5RNsa4Cx6XRhf2hWZ,https://api.spotify.com/v1/audio-analysis/0AluA5RNsa4Cx6XRhf2hWZ,208293,4,Rap,10 Freaky Girls (with 21 Savage),,
15235,15235,0.743,0.787,5,-4.863,0,0.348,0.4029999999999999,0.0,0.0553,0.71,126.98,audio_features,6IY2y3kjjLaNbxW4GLiYQR,spotify:track:6IY2y3kjjLaNbxW4GLiYQR,https://api.spotify.com/v1/tracks/6IY2y3kjjLaNbxW4GLiYQR,https://api.spotify.com/v1/audio-analysis/6IY2y3kjjLaNbxW4GLiYQR,390005,4,Rap,Ill Mind of Hopsin 8,,
15453,15453,0.924,0.74,8,-1.2990000000000002,1,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293,4,Rap,Forgot About Dre,,
14441,14441,0.743,0.87,1,-2.188,1,0.212,0.0595,0.0,0.299,0.884,99.079,audio_features,3wScL5W8H40zzCKN0atfBk,spotify:track:3wScL5W8H40zzCKN0atfBk,https://api.spotify.com/v1/tracks/3wScL5W8H40zzCKN0atfBk,https://api.spotify.com/v1/audio-analysis/3wScL5W8H40zzCKN0atfBk,194184,4,Rap,Uproar,,
15689,15689,0.575,0.909,7,-2.134,1,0.0749,0.107,0.000535,0.272,0.177,114.803,audio_features,2X2tfg4uv39KM3dJEAnFXg,spotify:track:2X2tfg4uv39KM3dJEAnFXg,https://api.spotify.com/v1/tracks/2X2tfg4uv39KM3dJEAnFXg,https://api.spotify.com/v1/audio-analysis/2X2tfg4uv39KM3dJEAnFXg,170356,4,Rap,Forget About Me,,
